Cocktail Name,Ingredients,Preparation,Image
Ruby Tuesday,"Grenadine, Cranberry juice, Gin, ",Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,https://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg
Rosemary Blue,"Rosemary, Tonic Water, Blue Curacao, Gin, ","1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix.",https://www.thecocktaildb.com/images/media/drink/qwc5f91512406543.jpg
Royal Gin Fizz,"Carbonated water, Egg, Powdered sugar, Lemon, Gin, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/pe1x1c1504735672.jpg
Rum Milk Punch,"Nutmeg, Powdered sugar, Milk, Light rum, ",Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg
Raspberry Julep,"Mint, Raspberry syrup, Bourbon, ","Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig.",https://www.thecocktaildb.com/images/media/drink/hyztmx1598719265.jpg
Rum Screwdriver,"Orange juice, Light rum, ","Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/4c85zq1511782093.jpg
Raspberry Cooler,"Ice, Lemon-lime soda, Raspberry vodka, ",Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/suqyyx1441254346.jpg
Rum Old-fashioned,"Lime peel, Water, Bitters, Powdered sugar, 151 proof rum, Light rum, ","Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",https://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg
Russian Spring Punch,"Lemon Juice, Sugar Syrup, Creme de Cassis, Vodka, ","Pour the ingredients into an highball glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg
Radioactive Long Island Iced Tea,"Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Triple sec, Gin, Tequila, Vodka, Rum, ",Pour all ingredients over ice in a very tall glass. Sip cautiously.,https://www.thecocktaildb.com/images/media/drink/rdvqmh1503563512.jpg
Smut,"Orange juice, Pepsi Cola, Peach schnapps, Red wine, ",Throw it all together and serve real cold.,https://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg
Spritz,"Soda Water, Campari, Prosecco, ","Build into glass over ice, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg
